Date,Market,Commodity,Forecast,Lower_CI,Upper_CI,Model
2025-07-02,Pune(Moshi),Coriander(Leaves),8.406070929022217,3.6698315934405867,13.142310264603847,AutoARIMA
2025-07-03,Pune(Moshi),Coriander(Leaves),8.515347109711175,2.7418264821462577,14.288867737276092,AutoARIMA
2025-07-04,Pune(Moshi),Coriander(Leaves),8.103054000788246,1.5086225841822944,14.697485417394198,AutoARIMA
2025-07-05,Pune(Moshi),Coriander(Leaves),8.375644138818743,0.9897885263441868,15.761499751293298,AutoARIMA
2025-07-06,Pune(Moshi),Coriander(Leaves),8.102480934860107,0.0,16.223206459691994,AutoARIMA
2025-07-07,Pune(Moshi),Coriander(Leaves),8.240474136329127,0.0,16.994821386893417,AutoARIMA
2025-07-08,Pune(Moshi),Coriander(Leaves),8.10847051805718,0.0,17.487905697831152,AutoARIMA
2025-07-09,Pune(Moshi),Coriander(Leaves),8.333055046923453,0.0,18.377558278181773,AutoARIMA
2025-07-10,Pune(Moshi),Coriander(Leaves),8.083848427434786,0.0,18.748114258131213,AutoARIMA
2025-07-11,Pune(Moshi),Coriander(Leaves),8.32569401661867,0.0,19.547118233359882,AutoARIMA
2025-07-12,Pune(Moshi),Coriander(Leaves),8.091683848653927,0.0,19.87140463599245,AutoARIMA
2025-07-13,Pune(Moshi),Coriander(Leaves),8.321828798461985,0.0,20.612093453386176,AutoARIMA
2025-07-14,Pune(Moshi),Coriander(Leaves),8.094318083052547,0.0,20.894999015350635,AutoARIMA
2025-07-15,Pune(Moshi),Coriander(Leaves),8.319074536480992,0.0,21.591207379912888,AutoARIMA
2025-07-16,Pune(Moshi),Coriander(Leaves),8.097231021760932,0.0,21.843286345765343,AutoARIMA
2025-07-17,Pune(Moshi),Coriander(Leaves),8.316163449102275,0.0,22.502491219540133,AutoARIMA
2025-07-18,Pune(Moshi),Coriander(Leaves),8.100089769957753,0.0,22.73051804579836,AutoARIMA
2025-07-19,Pune(Moshi),Coriander(Leaves),8.313350651232202,0.0,23.35841393822095,AutoARIMA
2025-07-20,Pune(Moshi),Coriander(Leaves),8.102865282269365,0.0,23.567177996490486,AutoARIMA
2025-07-21,Pune(Moshi),Coriander(Leaves),8.31061035505783,0.0,24.167965717589098,AutoARIMA
2025-07-22,Pune(Moshi),Coriander(Leaves),8.105570247467215,0.0,24.36104480362517,AutoARIMA
2025-07-23,Pune(Moshi),Coriander(Leaves),8.307940626741331,0.0,24.937953213305594,AutoARIMA
2025-07-24,Pune(Moshi),Coriander(Leaves),8.10820516588073,0.0,25.118081815971614,AutoARIMA
2025-07-25,Pune(Moshi),Coriander(Leaves),8.30534002751846,0.0,25.673665410756037,AutoARIMA
2025-07-26,Pune(Moshi),Coriander(Leaves),8.11077190754399,0.0,25.842983399525707,AutoARIMA
2025-07-27,Pune(Moshi),Coriander(Leaves),8.30280670311752,0.0,26.379309453601813,AutoARIMA
2025-07-28,Pune(Moshi),Coriander(Leaves),8.113272247747089,0.0,26.53952304409674,AutoARIMA
2025-07-29,Pune(Moshi),Coriander(Leaves),8.300338918164993,0.0,27.058297262149498,AutoARIMA
